subject_id,accuracy
48,0.3
82,0.375
75,0.4
58,0.4
69,0.425
7,0.45
63,0.475
79,0.5
76,0.525
73,0.525
45,0.525
71,0.525
68,0.525
50,0.525
14,0.525
86,0.55
59,0.55
72,0.55
49,0.55
84,0.55
80,0.55
43,0.575
8,0.575
67,0.6
30,0.6
11,0.625
18,0.625
22,0.625
4,0.625
13,0.625
9,0.65
54,0.65
65,0.65
78,0.65
6,0.65
66,0.675
3,0.675
10,0.675
57,0.675
20,0.675
23,0.7
77,0.7
24,0.7
5,0.7
25,0.725
26,0.725
70,0.725
83,0.725
12,0.725
19,0.75
81,0.775
62,0.775
60,0.775
16,0.8
21,0.8
15,0.8
37,0.825
29,0.825
85,0.825
17,0.825
2,0.825
46,0.85
1,0.875
38,0.9
31,0.9
52,0.9
47,0.925
